date,region,category,sales_amount,units_sold,discount,profit
2026-01-05,North,Electronics,1200.50,3,0.05,320.10
2026-01-08,West,Furniture,850.00,2,0.10,180.50
2026-01-12,South,Office Supplies,145.20,12,0.00,45.80
2026-01-15,East,Electronics,2450.00,5,0.15,620.00
2026-01-19,North,Furniture,1100.00,4,0.05,240.00
2026-01-22,West,Electronics,1800.75,4,0.10,450.25
2026-01-27,South,Office Supplies,320.00,20,0.05,95.00
2026-02-02,East,Furniture,920.50,2,0.00,210.00
2026-02-07,North,Office Supplies,210.40,15,0.05,62.10
2026-02-14,West,Electronics,3100.00,6,0.20,740.00
2026-02-18,South,Furniture,670.00,1,0.00,150.00
2026-02-23,East,Electronics,1500.00,3,0.10,380.00
2026-02-28,North,Furniture,1350.00,3,0.12,290.00
2026-03-04,West,Office Supplies,410.00,25,0.08,115.00
2026-03-10,South,Electronics,2900.00,7,0.15,690.00
